Code zone,Zone,Code Produit,Produit,Code Élément,Élément,Unité,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F
"3","Albanie","1034","Porcins","5111","Réserves","Tête","130400.000000","","128100.000000","","108000.000000","","111500.000000","","146600.000000","","140600.000000","","137400.000000","","115500.000000","","113600.000000","","116400.000000","","114800.000000","","116700.000000","","119500.000000","F","122200.000000","F","126200.000000","F","132200.000000","F","140100.000000","F","148900.000000","F","160600.000000","F","174300.000000","","186000.000000","F","204600.000000","F","200000.000000","F","200000.000000","F","204000.000000","","209000.000000","","214000.000000","","196000.000000","","181000.000000","","219700.000000","","147500.000000","","90300.000000","","92800.000000","","98100.000000","","100000.000000","","98000.000000","","97000.000000","","83000.000000","","81000.000000","","103000.000000","","106000.000000","","114000.000000","","132000.000000","","143100.000000","","147000.000000","","152000.000000","","147000.000000","","161000.000000","","160300.000000","","164000.000000","","163000.000000","","158818.000000","","152000.000000","","172455.000000","","1714000.000000","","181024.000000",""
"3","Albanie","1057","Poulets","5112","Réserves","1000 têtes","1580.000000","","1677.000000","","1651.000000","","1692.000000","","1671.000000","","1722.000000","","1705.000000","","1601.000000","","1729.000000","","2169.000000","","2171.000000","","2176.000000","","2202.000000","F","2400.000000","F","2800.000000","F","3000.000000","F","3200.000000","F","3200.000000","F","3300.000000","F","3492.000000","","3600.000000","F","3800.000000","F","4000.000000","F","4100.000000","F","4176.000000","","4296.000000","","5220.000000","","5059.000000","","5630.000000","","5259.000000","","3704.000000","","2392.000000","","2446.000000","","2450.000000","","2624.000000","","2888.000000","","3358.000000","","3839.000000","","4010.000000","","4087.000000","","4285.000000","","4446.000000","","4756.000000","","4517.000000","","4671.000000","","4572.000000","","4712.000000","","5000.000000","","5138.000000","","5245.000000","","6558.000000","","9494.000000","","8928.000000","","9493.000000","","8555.000000","","7634.000000",""
"3","Albanie","1181","Ruches","5114","Réserves","No","95100.000000","","92800.000000","","83500.000000","","96500.000000","","109800.000000","","105800.000000","","98100.000000","","86000.000000","","88600.000000","","99800.000000","","99800.000000","","89900.000000","","90000.000000","F","90000.000000","F","90000.000000","F","90000.000000","F","100000.000000","F","100000.000000","F","100000.000000","F","110000.000000","","106000.000000","F","100000.000000","F","95000.000000","F","90000.000000","F","81000.000000","","83000.000000","","87000.000000","","82000.000000","","86000.000000","","80000.000000","","72900.000000","","36200.000000","","20000.000000","","26900.000000","","40000.000000","","53900.000000","","57300.000000","","56500.000000","","67000.000000","","76000.000000","","82000.000000","","92000.000000","","111000.000000","","131800.000000","","157000.000000","","173000.000000","","171000.000000","","175000.000000","","203300.000000","","218000.000000","","233000.000000","","239081.000000","","246151.000000","","261452.000000","","271139.000000","","302962.000000",""
"3","Albanie","1746","Bovins et buffles","5111","Réserves","Tête","426800.000000","A","420500.000000","A","412400.000000","A","406300.000000","A","431800.000000","A","431000.000000","A","438700.000000","A","424200.000000","A","420300.000000","A","417000.000000","A","410000.000000","A","398400.000000","A","414000.000000","A","441900.000000","A","451800.000000","A","501800.000000","A","521800.000000","A","571700.000000","A","603700.000000","A","607700.000000","A","611800.000000","A","611800.000000","A","622000.000000","A","612000.000000","A","592000.000000","A","620000.000000","A","673000.000000","A","697000.000000","A","700900.000000","A","634300.000000","A","641700.000000","A","617700.000000","A","656400.000000","A","820110.000000","A","840110.000000","A","806120.000000","A","771120.000000","A","705120.000000","A","720120.000000","A","728120.000000","A","708520.000000","A","690120.000000","A","684120.000000","A","654120.000000","A","655120.000000","A","634120.000000","A","577120.000000","A","541120.000000","A","494120.000000","A","493120.000000","A","492120.000000","A","498138.000000","A","498251.000000","A","499810.000000","A","504306.000000","A","497079.000000","A"
"3","Albanie","1749","Ovins et caprins","5111","Réserves","Tête","2652800.000000","A","2728000.000000","A","2695000.000000","A","2701000.000000","A","2881500.000000","A","2811600.000000","A","2777000.000000","A","2401400.000000","A","2207500.000000","A","2160400.000000","A","1983200.000000","A","1888600.000000","A","1867800.000000","A","1836500.000000","A","1834500.000000","A","1832500.000000","A","1830500.000000","A","1828000.000000","A","1867000.000000","A","2065000.000000","A","2105000.000000","A","2150000.000000","A","2205000.000000","A","2245000.000000","A","2182000.000000","A","2264000.000000","A","2411000.000000","A","2601000.000000","A","2745000.000000","A","2790300.000000","A","2889900.000000","A","3030200.000000","A","3205400.000000","A","4177000.000000","A","4130000.000000","A","3232000.000000","A","3006000.000000","A","2923000.000000","A","3061000.000000","A","3043000.000000","A","2932700.000000","A","2773000.000000","A","2918000.000000","A","2738000.000000","A","2701000.000000","A","2770000.000000","A","2729000.000000","A","2620000.000000","A","2540000.000000","A","2581000.000000","A","2517000.000000","A","2618936.000000","A","2722513.000000","A","2800013.000000","A","2850000.000000","A","2912739.000000","A"
"3","Albanie","2029","Volaille","5112","Réserves","1000 têtes","1580.000000","A","1677.000000","A","1651.000000","A","1692.000000","A","1671.000000","A","1722.000000","A","1705.000000","A","1601.000000","A","1729.000000","A","2169.000000","A","2171.000000","A","2176.000000","A","2202.000000","A","2400.000000","A","2800.000000","A","3000.000000","A","3200.000000","A","3200.000000","A","3300.000000","A","3492.000000","A","3600.000000","A","3800.000000","A","4000.000000","A","4100.000000","A","4176.000000","A","4296.000000","A","5220.000000","A","5059.000000","A","5630.000000","A","5259.000000","A","3704.000000","A","2392.000000","A","2446.000000","A","3642.000000","A","3830.000000","A","4108.000000","A","4480.000000","A","4862.000000","A","5023.000000","A","5287.000000","A","5425.000000","A","5826.000000","A","6104.000000","A","6275.000000","A","6432.000000","A","6172.000000","A","7112.000000","A","8100.000000","A","8338.000000","A","8445.000000","A","9658.000000","A","12020.000000","A","11427.000000","A","12048.000000","A","10940.000000","A","10018.000000","A"
"79","Allemagne","866","Bovins","5111","Réserves","Tête","17542592.000000","","17824288.000000","","17862288.000000","","17627696.000000","","17735488.000000","","18442496.000000","","18891600.000000","","18999696.000000","","19170192.000000","","19457408.000000","","19216160.000000","","18930864.000000","","19271360.000000","","19845504.000000","","20014880.000000","","20024928.000000","","19967808.000000","","20312288.000000","","20579216.000000","","20645840.000000","","20791952.000000","","20741296.000000","","20788576.000000","","21319520.000000","","21535968.000000","","21453088.000000","","21108928.000000","","20607440.000000","","20369056.000000","","20287824.000000","","19488000.000000","","17133800.000000","","16207340.000000","","15896620.000000","","15962237.000000","","15889915.000000","","15759573.000000","","15227152.000000","","14942024.000000","","14657901.000000","","14567737.000000","","14226600.000000","","13643703.000000","","13195800.000000","","13034500.000000","","12747900.000000","","12686644.000000","","12969674.000000","","12944903.000000","","12809492.000000","","12562600.000000","","12477389.000000","","12587020.000000","","12742190.000000","","12635456.000000","","12466586.000000",""
"79","Allemagne","946","Buffles","5111","Réserves","Tête",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M","4200.000000","","4574.000000","","4975.000000","","5475.000000","","6507.000000","","7120.000000","","7312.000000",""
"79","Allemagne","1068","Canards","5112","Réserves","1000 têtes","1751.000000","","1695.000000","","1560.000000","","1667.000000","","1660.000000","","1666.000000","","1652.000000","","1634.000000","","1657.000000","","1520.000000","","1610.000000","","1470.000000","","1364.000000","","1262.000000","","1104.000000","","892.000000","","1021.000000","","992.000000","","1104.000000","","1043.000000","","1039.000000","","877.000000","","1096.000000","","956.000000","","1087.000000","","1382.000000","","1087.000000","","1100.000000","","1165.000000","","1100.000000","","2014.000000","","2257.000000","","2006.000000","","1755.000000","","1900.000000","","2060.000000","","2060.000000","","1995.000000","","1930.000000","","1927.000000","","2042.000000","","2185.000000","","2626.000000","","2300.000000","F","2352.000000","","2400.000000","F","2618.000000","","2700.000000","F","2750.000000","F","3164.000000","","2930.000000","*","3000.000000","F","2760.000000","","2450.000000","F","2883.000000","Im","3043.000000",""
"79","Allemagne","1016","Caprins","5111","Réserves","Tête","791300.000000","","738000.000000","","623100.000000","","585600.000000","","503500.000000","","423800.000000","","382800.000000","","324800.000000","","279000.000000","","218186.000000","","185186.000000","","156437.000000","","136329.000000","","115636.000000","","102731.000000","","90732.000000","","80268.000000","","70075.000000","","64968.000000","","61066.000000","","59538.000000","","58843.000000","","57728.000000","","67905.000000","","67503.000000","","66574.000000","","66003.000000","","67300.000000","","71200.000000","","90000.000000","","90000.000000","","86000.000000","","90000.000000","","92000.000000","","95000.000000","","100000.000000","","105000.000000","","115000.000000","","125000.000000","","135000.000000","","140000.000000","","160000.000000","","160000.000000","","165000.000000","","170000.000000","","170000.000000","","180000.000000","","190000.000000","","190000.000000","","150000.000000","","160000.000000","","162000.000000","","130200.000000","","117000.000000","","110500.000000","","138810.000000",""
