,Code zone,Zone,Code Produit,Produit,Code Élément,Élément,Unité,Y2016
96,68,France,1729,"Fruits à Coque,Total",5510,Production,tonnes,59761.0
97,68,France,1738,Fruits Prim et Melons,5510,Production,tonnes,9282224.0
98,68,France,1735,Légumes Prim Exc Melons,5510,Production,tonnes,4911767.0
99,68,France,1726,"Légumineuses Sèches,Tot.",5510,Production,tonnes,788127.0
100,68,France,1720,"Racines&Tubercules,Total",5510,Production,tonnes,6870403.0
101,68,France,1107,Anes,5111,Réserves,Tête,12159.0
102,68,France,866,Bovins,5111,Réserves,Tête,19325515.0
103,68,France,1068,Canards,5112,Réserves,1000 têtes,24534.0
104,68,France,1016,Caprins,5111,Réserves,Tête,1234184.0
105,68,France,1096,Chevaux,5111,Réserves,Tête,379554.0
106,68,France,1079,Dindes,5112,Réserves,1000 têtes,20582.0
107,68,France,1140,Leporides,5112,Réserves,1000 têtes,761.0
108,68,France,1110,Mulets,5111,Réserves,Tête,27915.0
109,68,France,1072,Oies et pintades,5112,Réserves,1000 têtes,369.0
110,68,France,976,Ovins,5111,Réserves,Tête,7003559.0
111,68,France,1083,Pigeons et autres oiseaux,5112,Réserves,1000 têtes,1742.0
112,68,France,1034,Porcins,5111,Réserves,Tête,12709379.0
113,68,France,1057,Poulets,5112,Réserves,1000 têtes,167413.0
114,68,France,1181,Ruches,5114,Réserves,No,794209.0
115,68,France,1746,Bovins et buffles,5111,Réserves,Tête,19325515.0
116,68,France,1749,Ovins et caprins,5111,Réserves,Tête,8237743.0
117,68,France,2029,Volaille,5112,Réserves,1000 têtes,214640.0
