,Name,Importation_Month,is_right_season,Higher_import,Index
0,ble dur,1,False,False,0.3252602828741762
1,ble dur,12,True,True,0.5702695285672877
2,ble dur,11,False,True,0.23280027107270387
3,ble dur,10,False,False,0.655871739940829
4,ble dur,8,True,True,0.2547563319839497
5,ble dur,7,True,False,0.37614414802514556
6,ble dur,9,False,False,0.5071079159298149
7,ble dur,5,False,False,0.503956301067762
8,ble dur,4,False,False,0.7298686818260395
9,ble dur,3,False,False,0.5536315036394736
10,ble dur,2,False,False,0.42509315981725565
11,ble dur,6,False,False,0.5891605266131111
12,ble,8,True,True,0.6011505864259242
13,ble,12,True,False,0.2709997613880009
14,ble,11,False,False,0.34912281354420466
15,ble,10,False,True,0.27211809965578815
16,ble,9,False,True,0.14463110537220963
17,ble,7,True,False,0.47771667088993935
18,ble,3,False,False,0.635439405501959
19,ble,5,False,False,0.32251650741102084
20,ble,4,False,False,0.5146115461441321
21,ble,2,False,False,0.5064348643402862
22,ble,1,False,False,0.6602654235389422
23,ble,6,False,False,0.5139012346542052
24,mais,8,True,False,0.3406566559592686
25,mais,12,False,True,0.08021541063952502
26,mais,11,True,True,0.0840655783740144
27,mais,10,True,False,0.13605441554277037
28,mais,9,True,False,0.3005289987566773
29,mais,7,True,False,0.39720020142032425
30,mais,3,False,False,0.17975136370646602
31,mais,5,False,False,0.27382793499522834
32,mais,4,False,False,0.311573389835172
33,mais,2,False,False,0.34518580863914133
34,mais,1,False,False,0.3805462005213321
35,mais,6,False,False,0.3201677348136914
36,orge,12,True,True,0.3625651174958484
37,orge,11,False,False,0.5818292390162884
38,orge,10,False,False,0.6202474232735857
39,orge,9,False,False,0.5563012199216514
40,orge,8,True,True,0.4857894034405346
41,orge,7,True,False,0.3457452831263838
42,orge,6,True,False,0.6364883264249138
43,orge,4,False,True,0.385379108219791
44,orge,3,False,False,0.44135046065304345
45,orge,2,False,True,0.12077690456924602
46,orge,1,False,False,0.4994234878952531
47,orge,5,False,False,0.767523210784547
48,seigle,9,False,False,0.5878440178899637
49,seigle,12,True,False,0.7025213947446649
50,seigle,11,False,False,0.6180359607224664
51,seigle,10,False,True,0.0
52,seigle,8,True,False,0.7060986526868119
53,seigle,1,False,False,1.0
54,seigle,6,True,True,0.5550895110207241
55,seigle,5,False,False,0.6223748226082148
56,seigle,4,False,False,0.778055964379709
57,seigle,3,False,False,0.6682908213015568
58,seigle,2,False,False,0.701528409720003
59,seigle,7,True,False,0.6297852298314836
60,avoine,12,True,True,0.334817066730043
61,avoine,11,False,False,0.63340061603683
62,avoine,10,False,True,0.3014237148596646
63,avoine,9,False,False,0.7467230433506994
64,avoine,8,True,False,0.5159684362481752
65,avoine,7,True,False,0.26923654727500357
66,avoine,6,True,False,0.25868439693307355
67,avoine,5,False,False,0.5676896917820188
68,avoine,4,False,False,0.6219216795526662
69,avoine,3,False,False,0.5771234945151801
70,avoine,2,False,False,0.6886907031944793
71,avoine,1,False,False,0.5391700680592583
72,sorgho,12,False,True,0.27112007247012065
73,sorgho,11,True,False,0.3872739596986205
74,sorgho,10,True,True,0.35458084257048067
